"eventid";"iyear";"imonth";"iday";"approxdate";"extended";"resolution";"country";"country_txt";"region";"region_txt";"provstate";"city";"latitude";"longitude";"specificity";"vicinity";"location";"summary";"crit1";"crit2";"crit3";"doubtterr";"alternative";"alternative_txt";"multiple";"success";"suicide";"attacktype1";"attacktype1_txt";"attacktype2";"attacktype2_txt";"attacktype3";"attacktype3_txt";"targtype1";"targtype1_txt";"targsubtype1";"targsubtype1_txt";"corp1";"target1";"natlty1";"natlty1_txt";"targtype2";"targtype2_txt";"targsubtype2";"targsubtype2_txt";"corp2";"target2";"natlty2";"natlty2_txt";"targtype3";"targtype3_txt";"targsubtype3";"targsubtype3_txt";"corp3";"target3";"natlty3";"natlty3_txt";"gname";"gsubname";"gname2";"gsubname2";"gname3";"gsubname3";"motive";"guncertain1";"guncertain2";"guncertain3";"individual";"nperps";"nperpcap";"claimed";"claimmode";"claimmode_txt";"claim2";"claimmode2";"claimmode2_txt";"claim3";"claimmode3";"claimmode3_txt";"compclaim";"weaptype1";"weaptype1_txt";"weapsubtype1";"weapsubtype1_txt";"weaptype2";"weaptype2_txt";"weapsubtype2";"weapsubtype2_txt";"weaptype3";"weaptype3_txt";"weapsubtype3";"weapsubtype3_txt";"weaptype4";"weaptype4_txt";"weapsubtype4";"weapsubtype4_txt";"weapdetail";"nkill";"nkillus";"nkillter";"nwound";"nwoundus";"nwoundte";"property";"propextent";"propextent_txt";"propvalue";"propcomment";"ishostkid";"nhostkid";"nhostkidus";"nhours";"ndays";"divert";"kidhijcountry";"ransom";"ransomamt";"ransomamtus";"ransompaid";"ransompaidus";"ransomnote";"hostkidoutcome";"hostkidoutcome_txt";"nreleased";"addnotes";"scite1";"scite2";"scite3";"dbsource";"INT_LOG";"INT_IDEO";"INT_MISC";"INT_ANY";"related"
197001080001;1970;1;8;"";0;"";98;"Italy";8;"Western Europe";"Lazio";"Rome";41.890961;12.490069;1;0;"";"";1;1;1;-9;"";"";0;1;0;4;"Hijacking";"";"";"";"";6;"Airports & Aircraft";42;"Aircraft (not at an airport)";"Trans World Airline";"Flight 802 Boeing 707";217;"United States";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unknown";"";"";"";"";"";"";0;"";"";0;"1";"";"";"";"";"";"";"";"";"";"";"";5;"Firearms";"4";"Rifle/Shotgun (non-automatic)";"5";"Firearms";"3";"Handgun";"";"";"";"";"";"";"";"";"Rifle - carbine; Pistols";"0";"0";"0";"0";"0";"0";0;"";"";"";"";0;"";"";"";"";"Beirut";"Beirut";0;"";"";"";"";"";"2";"Hostage(s) released by perpetrators";"";"";"";"";"";"Hijacking DB";-9;-9;1;1;""
197001100001;1970;1;10;"";0;"";499;"East Germany (GDR)";9;"Eastern Europe";"Berlin";"Berlin";52.50153;13.401851;1;0;"";"";1;1;1;0;"";"";0;1;0;3;"Bombing/Explosion";"";"";"";"";2;"Government (General)";0;"";"";"Jurists Ball (Palais au Frankturm)";75;"Germany";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Commune 1";"";"";"";"";"";"";0;"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";6;"Explosives";"16";"Unknown Explosive Type";"";"";"";"";"";"";"";"";"";"";"";"";"Explosive";"";"";"";"";"";"";0;"";"";"";"Damages: none, attempted to detonate device and were unsuccessful (Jurists Ball)";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";0;1;1;1;""
197001110001;1970;1;11;"";0;"";65;"Ethiopia";11;"Sub-Saharan Africa";"Unknown";"Unknown";0.0;0.0;5;0;"";"";1;1;0;1;"1";"Insurgency/Guerilla Action";0;1;0;9;"Unknown";"";"";"";"";4;"Military";34;"Military Personnel (soldiers, troops, officers, forces)";"U.S. Army";"Soldier";217;"United States";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Eritrean Liberation Front";"";"";"";"";"";"";0;"";"";0;"1";"";"";"";"";"";"";"";"";"";"";"";13;"Unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"0";"";"";0;"";"";"";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";0;1;1;1;""
197001150001;1970;1;15;"";0;"";218;"Uruguay";3;"South America";"Montevideo";"Montevideo";-34.891151;-56.187214;1;0;"";"";1;1;1;0;"";"";0;1;0;2;"Armed Assault";"";"";"";"";8;"Educational Institution";49;"School/University/Educational Building";"";"Secondary School, Chemistry Lab";218;"Uruguay";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tupamaros (Uruguay)";"";"";"";"";"";"";0;"";"";0;"5";"";"";"";"";"";"";"";"";"";"";"";5;"Firearms";"2";"Automatic or Semi-Automatic Rifle";"";"";"";"";"";"";"";"";"";"";"";"";"Automatic firearms";"0";"";"";"0";"";"";1;"3";"Minor (likely < $1 million)";"2500";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";0;0;0;0;""
197001200001;1970;1;20;"";0;"";83;"Guatemala";2;"Central America & Caribbean";"Guatemala";"Guatemala City";14.622869;-90.529068;1;0;"";"";1;1;1;0;"";"";0;1;0;1;"Assassination";"";"";"";"";7;"Government (Diplomatic)";46;"Embassy/Consulate";"British consulate";"Bodyguard, British Consul";216;"Great Britain";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unknown";"";"";"";"";"";"";0;"";"";0;"1";"";"";"";"";"";"";"";"";"";"";"";13;"Unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"0";"";"";0;"";"";"";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";-9;-9;1;1;""
197001210001;1970;1;21;"";0;"";160;"Philippines";5;"Southeast Asia";"Metropolitan Manila";"Quezon City";14.67428;121.057495;1;0;"";"";1;1;1;0;"";"";0;1;0;3;"Bombing/Explosion";"";"";"";"";7;"Government (Diplomatic)";46;"Embassy/Consulate";"";"JUSMAG HQ";217;"United States";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unknown";"";"";"";"";"";"";0;"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";6;"Explosives";"15";"Vehicle";"";"";"";"";"";"";"";"";"";"";"";"";"Explosive";"0";"";"";"0";"";"";1;"3";"Minor (likely < $1 million)";"5000";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";-9;-9;1;1;""
197001220001;1970;1;22;"";0;"";222;"Venezuela";3;"South America";"Caracas";"Caracas";10.482834;-66.962128;1;0;"";"";1;1;1;0;"";"";0;1;0;6;"Hostage Taking (Kidnapping)";"";"";"";"";1;"Business";7;"Retail/Grocery/Bakery";"Father owned chain of dept stores";"Leon Jacobo Taurel, son";222;"Venezuela";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Armed Forces of National Liberation- Venezuela (FALN)";"";"";"";"";"";"";0;"";"";0;"3";"";"";"";"";"";"";"";"";"";"";"";13;"Unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"0";"";"";0;"";"";"";"";1;"1";"0";"";"";"";"Venezuela";1;"110000";"";"110000";"";"";"2";"Hostage(s) released by perpetrators";"1";"";"";"";"";"PGIS";0;0;0;0;""
197001280001;1970;1;28;"";0;"";499;"East Germany (GDR)";9;"Eastern Europe";"Berlin";"Berlin";52.50153;13.401851;1;0;"";"";1;1;1;-9;"";"";0;1;0;7;"Facility/Infrastructure Attack";"";"";"";"";3;"Police";25;"Police Security Forces/Officers";"";"Residence of President of Penal Office";75;"Germany";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unknown";"";"";"";"";"";"";0;"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";8;"Incendiary";"19";"Molotov Cocktail/Petrol Bomb";"";"";"";"";"";"";"";"";"";"";"";"";"Molotov cocktail";"";"";"";"";"";"";1;"4";"Unknown";"";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";-9;-9;1;1;""
197001310001;1970;1;31;"";0;"";160;"Philippines";5;"Southeast Asia";"Tarlac";"Bamban";15.675051;120.331618;1;0;"";"";1;1;0;1;"1";"Insurgency/Guerilla Action";0;0;0;9;"Unknown";"";"";"";"";4;"Military";34;"Military Personnel (soldiers, troops, officers, forces)";"U.S. Navy";"Seaman";217;"United States";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"New People's Army (NPA)";"";"";"";"";"";"";0;"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";13;"Unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"1";"";"";0;"";"";"";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";0;1;1;1;""
197002100001;1970;2;10;"";0;"";362;"West Germany (FRG)";8;"Western Europe";"Bavaria";"Munich";48.139126;11.580186;1;0;"";"";1;1;1;0;"";"";0;1;0;2;"Armed Assault";"";"";"";"";6;"Airports & Aircraft";44;"Airport";"";"El Al Passenger Bus & Airport Lounge";97;"Israel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Popular Front for the Liberation of Palestine (PFLP)";"";"";"";"";"";"";0;"";"";0;"3";"";"";"";"";"";"";"";"";"";"";"";5;"Firearms";"2";"Automatic or Semi-Automatic Rifle";"";"";"";"";"";"";"";"";"";"";"";"";"Automatic firearms";"1";"";"";"";"";"";1;"3";"Minor (likely < $1 million)";"60000";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";0;0;1;1;""
197002130001;1970;2;13;"";0;"";217;"United States";1;"North America";"California";"Berkeley";37.874043;-122.280022;1;0;"";"";1;1;1;0;"";"";0;1;0;3;"Bombing/Explosion";"";"";"";"";3;"Police";22;"Police Building (headquarters, station, school)";"Berkeley Police Department";"Police parking lot";217;"United States";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unknown";"";"";"";"";"";"";0;"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";6;"Explosives";"16";"Unknown Explosive Type";"";"";"";"";"";"";"";"";"";"";"";"";"Explosive";"0";"";"";"7";"";"";1;"3";"Minor (likely < $1 million)";"8000";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";-9;-9;0;-9;""
197002130002;1970;2;13;"";0;"";362;"West Germany (FRG)";8;"Western Europe";"Bavaria";"Munich";48.139126;11.580186;1;0;"";"";1;1;1;0;"";"";0;1;0;7;"Facility/Infrastructure Attack";"";"";"";"";14;"Private Citizens & Property";76;"House/Apartment/Residence";"";"Jewish Old People's Home";75;"Germany";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Popular Front for the Liberation of Palestine (PFLP)";"";"";"";"";"";"";0;"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";8;"Incendiary";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Incendiary";"7";"";"";"9";"";"";1;"3";"Minor (likely < $1 million)";"60000";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";0;1;1;1;""
197002160001;1970;2;16;"";0;"";217;"United States";1;"North America";"California";"San Francisco";37.755363;-122.443352;1;0;"";"";1;1;1;0;"";"";1;1;0;3;"Bombing/Explosion";"";"";"";"";3;"Police";22;"Police Building (headquarters, station, school)";"San Francisco Police Department";"police station";217;"United States";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unknown";"";"";"";"";"";"";0;"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";6;"Explosives";"16";"Unknown Explosive Type";"";"";"";"";"";"";"";"";"";"";"";"";"Explosive";"1";"";"";"0";"";"";1;"3";"Minor (likely < $1 million)";"3000";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";-9;-9;0;-9;"197002160001, 197002160004"
197002160002;1970;2;16;"";0;"";217;"United States";1;"North America";"California";"Berkeley";37.874043;-122.280022;1;0;"";"";1;1;1;-9;"";"";1;1;0;3;"Bombing/Explosion";"";"";"";"";1;"Business";7;"Retail/Grocery/Bakery";"";"department store";217;"United States";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unknown";"";"";"";"";"";"";0;"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";6;"Explosives";"16";"Unknown Explosive Type";"";"";"";"";"";"";"";"";"";"";"";"";"Explosive";"0";"";"";"0";"";"";0;"3";"Minor (likely < $1 million)";"0";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";-9;-9;0;-9;"197002160002, 197002160003"
197002160003;1970;2;16;"";0;"";217;"United States";1;"North America";"California";"Berkeley";37.874043;-122.280022;1;0;"";"";1;1;1;-9;"";"";1;1;0;3;"Bombing/Explosion";"";"";"";"";1;"Business";7;"Retail/Grocery/Bakery";"";"department store";217;"United States";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unknown";"";"";"";"";"";"";0;"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";6;"Explosives";"16";"Unknown Explosive Type";"";"";"";"";"";"";"";"";"";"";"";"";"Explosive";"0";"";"";"0";"";"";0;"3";"Minor (likely < $1 million)";"0";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";-9;-9;0;-9;"197002160002, 197002160003"
197002210001;1970;2;21;"";0;"";362;"West Germany (FRG)";8;"Western Europe";"Hesse";"Frankfurt";50.11797;8.644191;1;0;"";"";1;1;1;0;"";"";0;1;0;3;"Bombing/Explosion";"";"";"";"";6;"Airports & Aircraft";42;"Aircraft (not at an airport)";"";"Austrian Airliner en route to Tel Aviv";15;"Austria";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)";"";"";"";"";"";"";0;"";"";0;"4";"";"";"";"";"";"";"";"";"";"";"";6;"Explosives";"10";"Pressure Trigger";"";"";"";"";"";"";"";"";"";"";"";"";"Barometric bomb";"0";"";"";"0";"";"";1;"3";"Minor (likely < $1 million)";"100000";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";1;1;1;1;""
197002210002;1970;2;21;"";0;"";199;"Switzerland";8;"Western Europe";"Zurich";"Zurich";47.36865;8.539182;1;0;"";"";1;1;1;0;"";"";0;1;0;3;"Bombing/Explosion";"";"";"";"";6;"Airports & Aircraft";42;"Aircraft (not at an airport)";"";"Swiss Air DC-9";199;"Switzerland";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)";"";"";"";"";"";"";0;"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";6;"Explosives";"16";"Unknown Explosive Type";"";"";"";"";"";"";"";"";"";"";"";"";"Explosive";"47";"";"";"0";"";"";1;"2";"Major (likely >= $1 million but < $1 billion)";"3000000";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";1;1;0;1;""
197002280001;1970;2;28;"";0;"";102;"Jordan";10;"Middle East & North Africa";"Khalil";"Hebron";31.530243;35.094162;1;0;"";"";1;1;1;-9;"";"";0;1;0;2;"Armed Assault";"";"";"";"";18;"Tourists";96;"Tour Bus/Van";"";"Tourist Bus";102;"Jordan";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unknown";"";"";"";"";"";"";0;"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";5;"Firearms";"2";"Automatic or Semi-Automatic Rifle";"";"";"";"";"";"";"";"";"";"";"";"";"Automatic firearm";"";"";"";"";"";"";1;"4";"Unknown";"";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";-9;-9;0;-9;""
197003000001;1970;3;0;"";0;"";160;"Philippines";5;"Southeast Asia";"Metropolitian Manila";"Manila";14.596051;120.978666;1;0;"";"";1;1;1;0;"";"";0;1;0;3;"Bombing/Explosion";"";"";"";"";7;"Government (Diplomatic)";46;"Embassy/Consulate";"";"U.S. Embassy";217;"United States";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unknown";"";"";"";"";"";"";0;"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";6;"Explosives";"16";"Unknown Explosive Type";"";"";"";"";"";"";"";"";"";"";"";"";"Explosive";"0";"";"";"0";"";"";1;"3";"Minor (likely < $1 million)";"500";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";-9;-9;1;1;""
197003010001;1970;3;1;"";0;"";98;"Italy";8;"Western Europe";"Lazio";"Rome";41.890961;12.490069;1;0;"";"";1;1;1;0;"";"";0;0;0;3;"Bombing/Explosion";"";"";"";"";6;"Airports & Aircraft";42;"Aircraft (not at an airport)";"";"Ethopian Airliner";65;"Ethiopia";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Eritrean Liberation Front";"";"";"";"";"";"";0;"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";6;"Explosives";"16";"Unknown Explosive Type";"";"";"";"";"";"";"";"";"";"";"";"";"Explosive";"0";"";"";"0";"";"";1;"";"";"";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";1;0;1;1;""
